archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"sesderma-repaskin-tacto-seda-color-spf50-50-ml-118006.webp","SESDERMA REPASKIN TACTO SEDA COLOR SPF50 50 ML","DERM-I01132","Sesderma Repaskin Toque Tacto Seda Facial Color SPF 50","0.67"
"sesderma-repaskin-tacto-seda-facial-spf50-50-ml-108068.webp","SESDERMA REPASKIN TACTO SEDA FACIAL SPF50 50 ML","DERM-I01132","Sesderma Repaskin Toque Tacto Seda Facial Color SPF 50","0.67"
"umbrella-intelligent-spf-100-50-g-90016.webp","UMBRELLA INTELLIGENT SPF 100 50 G","DERM-I00927","Medihealth Umbrella Intelligent DNA SPF 100 50 G","0.67"
"uriage-gyn-phy-gel-intimo-200-ml-20178.webp","URIAGE GYN PHY GEL INTIMO 200 ML","DERM-I01285","Uriage Gyn-phy 200 ML","0.67"
"uriage-hyseac-40-ml-crema-matifiante-21991.webp","URIAGE HYSEAC 40 ML CREMA MATIFIANTE","DERM-I01289","Uriage Hyseac Crema Matificante 40 ML","0.67"
"uriage-thermale-crema-ligera-40-ml-23272.webp","URIAGE THERMALE CREMA LIGERA 40 ML","DERM-I01278","Uriage EAU Thermale Crema 40 ML","0.67"
"heliocare-360-gel-oil-free-spf50-50-ml-protector-solar-21366.webp","HELIOCARE 360 GEL OIL-FREE SPF50 50 ML PROTECTOR SOLAR","DERM-I00574","Heliocare 360 Color Beige GEL OIL Free SPF 50 50 ML","0.64"
"heliocare-360-gel-oil-free-spf50-50-ml-protector-solar-21366.webp","HELIOCARE 360 GEL OIL-FREE SPF50 50 ML PROTECTOR SOLAR","DERM-I00575","Heliocare 360 Color Bronze GEL OIL Free SPF 50 50 ML","0.64"
"sesderma-reti-age-anti-edad-retinol-crema-gel-50-ml-108018.webp","SESDERMA RETI AGE ANTI-EDAD RETINOL CREMA GEL 50 ML","DERM-I01136","Sesderma Reti AGE Anti-aging GEL Crema Facial 50 ML","0.64"
"a-derma-dermalibour-barrier-creme-protectrice-100-ml-106583.webp","A-DERMA DERMALIBOUR BARRIER CREME PROTECTRICE 100 ML","DERM-I00061","A-derma Dermalibour Barrier Crema 100 ML","0.63"
"a-derma-exomega-control-leche-emoliente-400-ml-105521.webp","A-DERMA EXOMEGA CONTROL LECHE EMOLIENTE 400 ML","DERM-I00068","A-derma Exomega Control Emoliente 200 ML","0.63"
"avene-cicalfate-reparador-de-labios-12-ml-balsamo-105489.webp","AVENE CICALFATE REPARADOR DE LABIOS 12 ML BALSAMO","DERM-I00116","Avene Cicalfate Balsamo Reparador Labios 10ML","0.63"
"babe-stop-akn-crema-hidratante-reparadora-50-ml-23356.webp","BABE STOP AKN CREMA HIDRATANTE REPARADORA 50 ML","DERM-I00206","Babe Stop AKN Hidratante Matificante 50ML","0.63"
"effaclar-mouss-la-roche-posay-200-ml-gel-19573.webp","EFFACLAR MOUSS LA ROCHE POSAY 200 ML GEL","DERM-I00786","LA Roche Posay Effaclar Adapalene GEL","0.63"
"eucerin-hyaluron-contorno-de-ojos-15-ml-20053.webp","EUCERIN HYALURON CONTORNO DE OJOS 15 ML","DERM-I00455","Eucerin Anti-pigmento Contorno DE Ojos 15 ML","0.63"
"heliocare-gel-cream-light-color-spf50-50-ml-21551.webp","HELIOCARE GEL CREAM LIGHT COLOR SPF50 50 ML","DERM-I00595","Heliocare GEL Crema Color Light SPF 50","0.63"
