archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"sesderma-c-vit-5-serum-liposomado-30-ml-127163.webp","SESDERMA C-VIT 5 SERUM LIPOSOMADO 30 ML","DERM-I01092","Sesderma C-vit 5 Liposomal Serum 30 ML","0.75"
"acm-medisun-crema-spf-50-40-ml-protector-solar-124885.webp","ACM MEDISUN CREMA SPF 50+ 40 ML PROTECTOR SOLAR","DERM-I00038","ACM Medisun Crema SPF 50+ 40ML","0.71"
"acm-sensitelial-emolliente-care-crema-200ml-123678.webp","ACM SENSITELIAL EMOLLIENTE CARE CREMA 200ML","DERM-I00050","ACM Sensitelial Emoliente Care Crema 200 ML","0.71"
"darrow-actine-oil-control-gel-140-gr-131217.webp","DARROW ACTINE OIL CONTROL GEL 140 GR","DERM-I00356","Darrow Actine OIL Control GEL 400 G","0.71"
"darrow-actine-oil-control-gel-140-gr-131217.webp","DARROW ACTINE OIL CONTROL GEL 140 GR","DERM-I00355","Darrow Actine OIL Control GEL 240 G","0.71"
"darrow-actine-oil-control-gel-140-gr-131217.webp","DARROW ACTINE OIL CONTROL GEL 140 GR","DERM-I00354","Darrow Actine OIL Control GEL 140 G","0.71"
"darrow-actine-oil-control-gel-240-gr-131248.webp","DARROW ACTINE OIL CONTROL GEL 240 GR","DERM-I00356","Darrow Actine OIL Control GEL 400 G","0.71"
"darrow-actine-oil-control-gel-240-gr-131248.webp","DARROW ACTINE OIL CONTROL GEL 240 GR","DERM-I00355","Darrow Actine OIL Control GEL 240 G","0.71"
"darrow-actine-oil-control-gel-240-gr-131248.webp","DARROW ACTINE OIL CONTROL GEL 240 GR","DERM-I00354","Darrow Actine OIL Control GEL 140 G","0.71"
"darrow-actine-oil-control-gel-400-gr-131231.webp","DARROW ACTINE OIL CONTROL GEL 400 GR","DERM-I00356","Darrow Actine OIL Control GEL 400 G","0.71"
"darrow-actine-oil-control-gel-400-gr-131231.webp","DARROW ACTINE OIL CONTROL GEL 400 GR","DERM-I00355","Darrow Actine OIL Control GEL 240 G","0.71"
"darrow-actine-oil-control-gel-400-gr-131231.webp","DARROW ACTINE OIL CONTROL GEL 400 GR","DERM-I00354","Darrow Actine OIL Control GEL 140 G","0.71"
"eucerin-anti-pigment-ultra-ligero-30-ml-serum-124105.webp","EUCERIN ANTI PIGMENT ULTRA LIGERO 30 ML SERUM","DERM-I00453","Eucerin Anti-pigment Serum 30 ML","0.71"
"filorga-sleep-lift-crema-50-ml-129711.webp","FILORGA SLEEP & LIFT CREMA 50 ML","DERM-I00524","Filorga Sleep & Lift Crema DE Noche 50 ML","0.71"
"isdin-fotoprotector-hydro-lotion-spf50-200-ml-crema-128801.webp","ISDIN FOTOPROTECTOR HYDRO LOTION SPF50 200 ML CREMA","DERM-I00679","Isdin Fotoprotector Hydro Lotion SPF 50","0.71"
"isispharma-ruboril-expert-s-crema-antienrojecimiento-40-ml-121866.webp","ISISPHARMA RUBORIL EXPERT S CREMA ANTIENROJECIMIENTO 40 ML","DERM-I00737","Isispharma Ruboril Expert S 40 ML","0.71"
"isispharma-teen-derm-gel-limpiador-exfoliante-150-ml-64690.webp","ISISPHARMA TEEN DERM GEL LIMPIADOR EXFOLIANTE 150 ML","DERM-I00746","Isispharma Teen Derm GEL 150 ML","0.71"
"sesderma-reti-age-5-serum-30-ml-156638.webp","SESDERMA RETI-AGE 5 SERUM 30 ML","DERM-I01140","Sesderma Reti AGE Serum Rejuvenecedor 30 ML","0.71"
"la-roche-posay-double-repair-2-5-oz-matte-moisturizer-123424.webp","LA ROCHE POSAY DOUBLE REPAIR 2.5 OZ MATTE MOISTURIZER","DERM-I00846","LA Roche-posay Toleriane Double Repair Matte Moisturizer 75 ML","0.7"
"la-roche-posay-double-repair-2-5-oz-matte-moisturizer-123424.webp","LA ROCHE POSAY DOUBLE REPAIR 2.5 OZ MATTE MOISTURIZER","DERM-I00845","LA Roche-posay Toleriane Double Repair Matte Moisturizer 100 ML","0.7"
"la-roche-posay-effaclar-purifying-foaming-gel-13-5-fl-oz-125024.webp","LA ROCHE POSAY EFFACLAR PURIFYING FOAMING GEL - 13.5 FL.OZ.","DERM-I00819","LA Roche-posay Effaclar Purifying Foaming GEL 400 ML","0.7"
"sesderma-factor-g-50-ml-anti-angi-ovalo-facial-cuello-108012.webp","SESDERMA FACTOR G 50 ML ANTI-ANGI OVALO FACIAL & CUELLO","DERM-I01108","Sesderma Factor G Ovalo Facial Y Cuello 50 ML","0.7"
"vichy-liftactiv-specialist-b3-dark-spot-corrector-30-ml-seru-123428.webp","VICHY LIFTACTIV SPECIALIST B3 DARK SPOT CORRECTOR 30 ML SERU","DERM-I01322","Vichy Liftactiv Specialist B3 Dark Spot & Wrinkles 30 ML","0.7"
"acm-duolys-hyal-intensivo-anti-edad-15-ml-serum-128216.webp","ACM DUOLYS HYAL INTENSIVO ANTI-EDAD 15 ML SERUM","DERM-I00032","ACM Duolys Hyal Serum Intensivo Antiedad 15 ML","0.67"
"acm-medisun-crema-spf-50-40-ml-protector-solar-124885.webp","ACM MEDISUN CREMA SPF 50+ 40 ML PROTECTOR SOLAR","DERM-I00037","ACM Medisun Crema Solar SPF50+ Tinte Ligero 40ML","0.67"
"avene-cleanance-aqua-gel-50-ml-131152.webp","AVENE CLEANANCE AQUA GEL 50 ML","DERM-I00144","Avene Hydrance Aqua GEL 50 ML","0.67"
"avene-cleanance-serum-30-ml-130746.webp","AVENE CLEANANCE SERUM 30 ML","DERM-I00132","Avene Cleanance Serum Exfoliante A.h.a. 30 ML","0.67"
